aspirant_id,preferred_subject_1,preferred_subject_2,target_college_1,target_college_2,preparation_level,learning_style,hours_per_week,legal_reasoning_preference,logical_reasoning_preference,english_preference,current_affairs_preference,quantitative_preference
ASP026,Current Affairs,Quantitative Techniques,NLU Delhi,NLSIU Bangalore,Advanced,Reading/Writing,16,5,5,3,5,5
ASP027,Logical Reasoning,Current Affairs,Other NLUs,NLSIU Bangalore,Intermediate,Auditory,24,1,5,1,5,1
ASP028,Legal Reasoning,Logical Reasoning,NUJS Kolkata,NLIU Bhopal,Beginner,Kinesthetic,30,5,5,3,3,3
ASP029,Logical Reasoning,Quantitative Techniques,GNLU Gandhinagar,Other NLUs,Advanced,Reading/Writing,20,5,5,1,5,5
ASP030,Quantitative Techniques,Current Affairs,NLSIU Bangalore,NLU Delhi,Beginner,Auditory,43,2,3,3,5,5
ASP031,English,Current Affairs,MNLU Mumbai,Other NLUs,Beginner,Reading/Writing,34,1,3,5,5,3
ASP032,English,Quantitative Techniques,Other NLUs,NUJS Kolkata,Beginner,Visual,48,1,5,5,5,5
ASP033,English,Legal Reasoning,NLSIU Bangalore,MNLU Mumbai,Intermediate,Mixed,43,5,1,5,2,1
ASP034,Quantitative Techniques,Current Affairs,NALSAR Hyderabad,MNLU Mumbai,Advanced,Kinesthetic,16,3,5,5,5,5
ASP035,English,Current Affairs,NALSAR Hyderabad,NLIU Bhopal,Intermediate,Visual,30,1,3,5,5,3
ASP036,Legal Reasoning,Logical Reasoning,NUJS Kolkata,MNLU Mumbai,Beginner,Auditory,32,5,5,5,2,5
ASP037,Legal Reasoning,English,NUJS Kolkata,NLIU Bhopal,Advanced,Reading/Writing,33,5,1,5,3,5
ASP038,Legal Reasoning,Current Affairs,NLIU Bhopal,Other NLUs,Intermediate,Reading/Writing,18,5,5,5,5,2
ASP039,Quantitative Techniques,Current Affairs,NLU Delhi,NALSAR Hyderabad,Beginner,Visual,43,5,5,3,5,5
ASP040,Current Affairs,Legal Reasoning,NUJS Kolkata,NLU Delhi,Advanced,Auditory,15,5,2,5,5,5
ASP041,English,Quantitative Techniques,GNLU Gandhinagar,NALSAR Hyderabad,Advanced,Visual,30,2,5,5,5,5
ASP042,English,Quantitative Techniques,NLIU Bhopal,NLSIU Bangalore,Advanced,Reading/Writing,19,3,3,5,2,5
ASP043,English,Current Affairs,Other NLUs,NLSIU Bangalore,Intermediate,Kinesthetic,19,2,3,5,5,2
ASP044,Quantitative Techniques,Logical Reasoning,Other NLUs,MNLU Mumbai,Beginner,Visual,35,3,5,3,5,5
ASP045,Quantitative Techniques,Legal Reasoning,MNLU Mumbai,NUJS Kolkata,Intermediate,Visual,36,5,3,5,5,5
ASP046,Current Affairs,Legal Reasoning,NLSIU Bangalore,GNLU Gandhinagar,Advanced,Mixed,46,5,3,5,5,1
ASP047,English,Current Affairs,NLU Delhi,NLSIU Bangalore,Advanced,Kinesthetic,43,5,3,5,5,5
ASP048,Logical Reasoning,Current Affairs,NLIU Bhopal,NALSAR Hyderabad,Beginner,Kinesthetic,50,5,5,5,5,2
ASP049,English,Logical Reasoning,NLU Delhi,NUJS Kolkata,Beginner,Auditory,31,2,5,5,5,1
ASP050,Legal Reasoning,English,GNLU Gandhinagar,Other NLUs,Advanced,Auditory,16,5,3,5,1,2
ASP051,Current Affairs,Legal Reasoning,NLSIU Bangalore,NLIU Bhopal,Intermediate,Mixed,14,5,1,5,5,5
ASP052,English,Quantitative Techniques,NLU Delhi,NUJS Kolkata,Beginner,Visual,43,3,2,5,1,5
ASP053,Current Affairs,Legal Reasoning,Other NLUs,NLSIU Bangalore,Beginner,Mixed,24,5,1,5,5,5
ASP054,Quantitative Techniques,Current Affairs,Other NLUs,NLSIU Bangalore,Intermediate,Visual,12,5,5,2,5,5
ASP055,Quantitative Techniques,Current Affairs,MNLU Mumbai,NLIU Bhopal,Beginner,Reading/Writing,40,3,5,1,5,5
ASP056,Logical Reasoning,Legal Reasoning,NALSAR Hyderabad,NUJS Kolkata,Intermediate,Auditory,26,5,5,3,5,3
ASP057,Logical Reasoning,Legal Reasoning,NALSAR Hyderabad,Other NLUs,Advanced,Auditory,50,5,5,5,3,1
ASP058,English,Legal Reasoning,Other NLUs,MNLU Mumbai,Advanced,Visual,13,5,5,5,2,5
ASP059,Legal Reasoning,Current Affairs,GNLU Gandhinagar,Other NLUs,Advanced,Visual,19,5,5,2,5,3
ASP060,English,Logical Reasoning,GNLU Gandhinagar,Other NLUs,Beginner,Mixed,38,2,5,5,1,2
ASP061,Legal Reasoning,Logical Reasoning,MNLU Mumbai,NUJS Kolkata,Advanced,Visual,26,5,5,3,5,1
ASP062,Logical Reasoning,Current Affairs,MNLU Mumbai,Other NLUs,Beginner,Auditory,38,5,5,5,5,1
ASP063,Quantitative Techniques,Logical Reasoning,GNLU Gandhinagar,NLSIU Bangalore,Intermediate,Kinesthetic,16,5,5,2,2,5
ASP064,Logical Reasoning,Current Affairs,GNLU Gandhinagar,NLU Delhi,Intermediate,Auditory,23,3,5,5,5,3
ASP065,Legal Reasoning,Current Affairs,Other NLUs,NLU Delhi,Advanced,Visual,34,5,3,3,5,2
ASP066,Legal Reasoning,Logical Reasoning,NALSAR Hyderabad,MNLU Mumbai,Advanced,Mixed,25,5,5,5,5,1
ASP067,Current Affairs,English,NLIU Bhopal,NLSIU Bangalore,Intermediate,Visual,44,5,2,5,5,2
ASP068,Logical Reasoning,Current Affairs,MNLU Mumbai,NLU Delhi,Advanced,Kinesthetic,41,2,5,3,5,5
ASP069,Quantitative Techniques,Legal Reasoning,NLSIU Bangalore,Other NLUs,Intermediate,Mixed,18,5,5,3,5,5
ASP070,Current Affairs,Logical Reasoning,GNLU Gandhinagar,NLU Delhi,Advanced,Mixed,38,3,5,1,5,2
ASP071,Legal Reasoning,English,MNLU Mumbai,NALSAR Hyderabad,Beginner,Mixed,37,5,3,5,5,3
ASP072,Quantitative Techniques,Legal Reasoning,NLIU Bhopal,NUJS Kolkata,Intermediate,Reading/Writing,25,5,3,1,3,5
ASP073,Current Affairs,Legal Reasoning,NLIU Bhopal,NLU Delhi,Intermediate,Reading/Writing,27,5,1,3,5,5
ASP074,Quantitative Techniques,English,NUJS Kolkata,NLSIU Bangalore,Advanced,Kinesthetic,25,3,5,5,5,5
ASP075,Current Affairs,Logical Reasoning,GNLU Gandhinagar,NALSAR Hyderabad,Advanced,Reading/Writing,29,2,5,5,5,5
ASP076,Legal Reasoning,English,NUJS Kolkata,NLIU Bhopal,Advanced,Kinesthetic,21,5,2,5,2,3
ASP077,Legal Reasoning,Logical Reasoning,NLU Delhi,MNLU Mumbai,Advanced,Reading/Writing,36,5,5,5,3,5
ASP078,Logical Reasoning,Current Affairs,NLU Delhi,MNLU Mumbai,Beginner,Auditory,38,2,5,5,5,2
ASP079,Quantitative Techniques,Legal Reasoning,NALSAR Hyderabad,NLSIU Bangalore,Advanced,Visual,18,5,1,3,5,5
ASP080,Logical Reasoning,Legal Reasoning,MNLU Mumbai,Other NLUs,Beginner,Auditory,32,5,5,3,3,5
ASP081,English,Legal Reasoning,MNLU Mumbai,NALSAR Hyderabad,Advanced,Mixed,24,5,2,5,1,1
ASP082,Logical Reasoning,English,Other NLUs,MNLU Mumbai,Intermediate,Visual,36,1,5,5,2,1
ASP083,Current Affairs,Legal Reasoning,NLIU Bhopal,Other NLUs,Advanced,Kinesthetic,35,5,2,2,5,2
ASP084,Current Affairs,English,GNLU Gandhinagar,Other NLUs,Intermediate,Kinesthetic,45,3,5,5,5,5
ASP085,Current Affairs,Legal Reasoning,GNLU Gandhinagar,MNLU Mumbai,Intermediate,Visual,36,5,1,1,5,3
ASP086,Legal Reasoning,English,NLSIU Bangalore,MNLU Mumbai,Advanced,Mixed,31,5,1,5,1,5
ASP087,Quantitative Techniques,Logical Reasoning,NLSIU Bangalore,MNLU Mumbai,Intermediate,Reading/Writing,49,3,5,5,3,5
ASP088,English,Quantitative Techniques,MNLU Mumbai,GNLU Gandhinagar,Advanced,Reading/Writing,39,5,1,5,5,5
ASP089,English,Quantitative Techniques,NLIU Bhopal,NLSIU Bangalore,Beginner,Auditory,12,1,5,5,5,5
ASP090,Logical Reasoning,Legal Reasoning,Other NLUs,NLSIU Bangalore,Beginner,Visual,24,5,5,5,2,5
ASP091,English,Logical Reasoning,NLIU Bhopal,GNLU Gandhinagar,Advanced,Mixed,21,3,5,5,2,2
ASP092,English,Legal Reasoning,NLIU Bhopal,Other NLUs,Intermediate,Mixed,20,5,3,5,1,2
ASP093,Logical Reasoning,Quantitative Techniques,MNLU Mumbai,GNLU Gandhinagar,Advanced,Auditory,37,5,5,3,3,5
ASP094,Quantitative Techniques,English,NLIU Bhopal,GNLU Gandhinagar,Advanced,Auditory,41,5,5,5,3,5
ASP095,Logical Reasoning,Quantitative Techniques,NLSIU Bangalore,GNLU Gandhinagar,Beginner,Mixed,31,3,5,2,5,5
ASP096,Logical Reasoning,English,NALSAR Hyderabad,Other NLUs,Beginner,Auditory,28,3,5,5,3,3
ASP097,Current Affairs,Legal Reasoning,NUJS Kolkata,Other NLUs,Intermediate,Mixed,28,5,1,1,5,2
ASP098,Quantitative Techniques,Legal Reasoning,NLIU Bhopal,MNLU Mumbai,Advanced,Visual,23,5,3,2,5,5
ASP099,Logical Reasoning,English,NALSAR Hyderabad,NLIU Bhopal,Intermediate,Visual,29,3,5,5,2,3
ASP100,Current Affairs,Logical Reasoning,GNLU Gandhinagar,NLSIU Bangalore,Beginner,Mixed,26,2,5,5,5,3
