aspirant_id,preferred_subject_1,preferred_subject_2,target_college_1,target_college_2,preparation_level,learning_style,hours_per_week,legal_reasoning_preference,logical_reasoning_preference,english_preference,current_affairs_preference,quantitative_preference
ASP030,Quantitative Techniques,English,Other NLUs,NALSAR Hyderabad,Intermediate,Visual,47,1,5,5,1,5
ASP031,Legal Reasoning,English,GNLU Gandhinagar,NLU Delhi,Intermediate,Mixed,14,5,5,5,3,5
ASP032,English,Quantitative Techniques,NALSAR Hyderabad,NLIU Bhopal,Beginner,Kinesthetic,21,3,2,5,3,5
ASP033,Current Affairs,English,NLU Delhi,NLIU Bhopal,Intermediate,Reading/Writing,44,1,2,5,5,1
ASP034,English,Logical Reasoning,NUJS Kolkata,Other NLUs,Advanced,Mixed,39,1,5,5,5,5
ASP035,Legal Reasoning,Current Affairs,NLU Delhi,MNLU Mumbai,Advanced,Mixed,35,5,2,5,5,5
ASP036,Logical Reasoning,English,Other NLUs,NUJS Kolkata,Beginner,Kinesthetic,17,5,5,5,1,5
ASP037,Current Affairs,Legal Reasoning,GNLU Gandhinagar,NLIU Bhopal,Beginner,Mixed,28,5,3,1,5,2
ASP038,Current Affairs,Legal Reasoning,GNLU Gandhinagar,NALSAR Hyderabad,Beginner,Mixed,17,5,1,2,5,2
ASP039,Current Affairs,Quantitative Techniques,NUJS Kolkata,NLIU Bhopal,Beginner,Auditory,45,5,2,2,5,5
ASP040,Current Affairs,English,MNLU Mumbai,NUJS Kolkata,Advanced,Kinesthetic,20,5,3,5,5,3
ASP041,Current Affairs,Logical Reasoning,GNLU Gandhinagar,Other NLUs,Beginner,Mixed,36,2,5,3,5,1
ASP042,English,Current Affairs,NALSAR Hyderabad,NLIU Bhopal,Intermediate,Mixed,30,5,2,5,5,2
ASP043,Current Affairs,English,NLSIU Bangalore,NLIU Bhopal,Advanced,Reading/Writing,29,1,5,5,5,2
ASP044,Current Affairs,Legal Reasoning,NALSAR Hyderabad,NLSIU Bangalore,Beginner,Kinesthetic,39,5,2,5,5,5
ASP045,Quantitative Techniques,Legal Reasoning,NALSAR Hyderabad,Other NLUs,Advanced,Visual,15,5,5,2,3,5
ASP046,Quantitative Techniques,Logical Reasoning,NLSIU Bangalore,GNLU Gandhinagar,Beginner,Kinesthetic,10,3,5,5,1,5
ASP047,Current Affairs,Legal Reasoning,Other NLUs,NLU Delhi,Advanced,Auditory,24,5,5,1,5,5
ASP048,Legal Reasoning,Logical Reasoning,Other NLUs,GNLU Gandhinagar,Advanced,Mixed,43,5,5,1,1,5
ASP049,English,Legal Reasoning,NLSIU Bangalore,NUJS Kolkata,Beginner,Kinesthetic,42,5,3,5,2,3
ASP050,Logical Reasoning,Quantitative Techniques,Other NLUs,NLU Delhi,Intermediate,Kinesthetic,18,5,5,2,2,5
ASP051,Quantitative Techniques,Logical Reasoning,NLIU Bhopal,GNLU Gandhinagar,Advanced,Mixed,13,3,5,2,2,5
ASP052,Legal Reasoning,Quantitative Techniques,GNLU Gandhinagar,MNLU Mumbai,Beginner,Kinesthetic,30,5,5,3,2,5
ASP053,Current Affairs,Legal Reasoning,MNLU Mumbai,Other NLUs,Advanced,Visual,46,5,2,3,5,1
ASP054,Current Affairs,Legal Reasoning,NUJS Kolkata,NALSAR Hyderabad,Advanced,Auditory,18,5,3,1,5,5
ASP055,Legal Reasoning,Quantitative Techniques,NALSAR Hyderabad,Other NLUs,Advanced,Mixed,33,5,5,5,1,5
ASP056,Logical Reasoning,Current Affairs,NLSIU Bangalore,MNLU Mumbai,Advanced,Kinesthetic,23,5,5,2,5,2
ASP057,Current Affairs,Quantitative Techniques,NALSAR Hyderabad,NLSIU Bangalore,Beginner,Auditory,26,1,3,1,5,5
ASP058,Legal Reasoning,Current Affairs,GNLU Gandhinagar,NUJS Kolkata,Beginner,Visual,32,5,2,5,5,5
ASP059,Logical Reasoning,Legal Reasoning,MNLU Mumbai,NALSAR Hyderabad,Beginner,Visual,17,5,5,5,1,3
ASP060,English,Current Affairs,NUJS Kolkata,MNLU Mumbai,Beginner,Kinesthetic,46,3,1,5,5,1
ASP061,Legal Reasoning,Current Affairs,Other NLUs,NALSAR Hyderabad,Beginner,Kinesthetic,47,5,3,3,5,5
ASP062,Current Affairs,Quantitative Techniques,NLIU Bhopal,NALSAR Hyderabad,Advanced,Visual,30,3,1,5,5,5
ASP063,Legal Reasoning,Current Affairs,NLSIU Bangalore,GNLU Gandhinagar,Intermediate,Reading/Writing,40,5,3,3,5,5
ASP064,Quantitative Techniques,Legal Reasoning,NUJS Kolkata,NLSIU Bangalore,Beginner,Mixed,37,5,1,2,2,5
ASP065,Quantitative Techniques,Logical Reasoning,NLSIU Bangalore,MNLU Mumbai,Advanced,Reading/Writing,40,5,5,1,5,5
ASP066,English,Legal Reasoning,GNLU Gandhinagar,NLU Delhi,Advanced,Visual,41,5,2,5,1,1
ASP067,Current Affairs,English,NLU Delhi,NALSAR Hyderabad,Intermediate,Mixed,17,2,1,5,5,3
ASP068,Legal Reasoning,English,NLU Delhi,GNLU Gandhinagar,Advanced,Reading/Writing,38,5,2,5,5,5
ASP069,Current Affairs,Quantitative Techniques,NLU Delhi,GNLU Gandhinagar,Intermediate,Reading/Writing,24,5,1,5,5,5
ASP070,Logical Reasoning,Quantitative Techniques,NLIU Bhopal,NUJS Kolkata,Beginner,Visual,49,1,5,3,2,5
ASP071,Logical Reasoning,English,NLSIU Bangalore,NALSAR Hyderabad,Beginner,Visual,12,5,5,5,2,1
ASP072,Quantitative Techniques,English,MNLU Mumbai,GNLU Gandhinagar,Beginner,Mixed,33,5,1,5,5,5
ASP073,Logical Reasoning,Quantitative Techniques,Other NLUs,NLSIU Bangalore,Intermediate,Auditory,16,3,5,5,2,5
ASP074,Current Affairs,Legal Reasoning,NLIU Bhopal,NLU Delhi,Beginner,Kinesthetic,12,5,2,3,5,2
ASP075,English,Legal Reasoning,NUJS Kolkata,Other NLUs,Beginner,Mixed,17,5,5,5,1,5
ASP076,Logical Reasoning,Current Affairs,NALSAR Hyderabad,NLU Delhi,Intermediate,Auditory,22,1,5,3,5,5
ASP077,Current Affairs,Logical Reasoning,NALSAR Hyderabad,GNLU Gandhinagar,Beginner,Mixed,48,2,5,3,5,1
ASP078,Legal Reasoning,Current Affairs,NLSIU Bangalore,Other NLUs,Advanced,Kinesthetic,11,5,2,3,5,5
ASP079,Quantitative Techniques,Logical Reasoning,NUJS Kolkata,GNLU Gandhinagar,Intermediate,Kinesthetic,27,5,5,1,5,5
ASP080,Legal Reasoning,Quantitative Techniques,NUJS Kolkata,NLU Delhi,Advanced,Reading/Writing,40,5,5,5,1,5
ASP081,Legal Reasoning,English,NALSAR Hyderabad,NUJS Kolkata,Beginner,Kinesthetic,45,5,5,5,5,3
ASP082,Quantitative Techniques,English,GNLU Gandhinagar,NLSIU Bangalore,Beginner,Mixed,15,5,1,5,5,5
ASP083,Logical Reasoning,Quantitative Techniques,NLIU Bhopal,Other NLUs,Beginner,Auditory,33,5,5,1,5,5
ASP084,Current Affairs,Legal Reasoning,GNLU Gandhinagar,NLIU Bhopal,Intermediate,Reading/Writing,39,5,5,3,5,3
ASP085,Quantitative Techniques,Logical Reasoning,Other NLUs,NLIU Bhopal,Advanced,Visual,47,3,5,5,1,5
ASP086,Legal Reasoning,Current Affairs,NUJS Kolkata,GNLU Gandhinagar,Advanced,Mixed,31,5,3,1,5,5
ASP087,Current Affairs,Quantitative Techniques,NLIU Bhopal,NLSIU Bangalore,Beginner,Kinesthetic,23,3,3,2,5,5
ASP088,Quantitative Techniques,Current Affairs,NLSIU Bangalore,NLIU Bhopal,Intermediate,Kinesthetic,47,3,3,2,5,5
ASP089,Logical Reasoning,Legal Reasoning,NLU Delhi,Other NLUs,Beginner,Mixed,38,5,5,1,3,5
ASP090,Current Affairs,Logical Reasoning,MNLU Mumbai,NLIU Bhopal,Advanced,Reading/Writing,39,2,5,1,5,1
ASP091,Logical Reasoning,Legal Reasoning,NLIU Bhopal,MNLU Mumbai,Intermediate,Auditory,43,5,5,5,5,3
ASP092,Current Affairs,Logical Reasoning,NLU Delhi,Other NLUs,Beginner,Reading/Writing,43,5,5,5,5,3
ASP093,Quantitative Techniques,Current Affairs,GNLU Gandhinagar,Other NLUs,Advanced,Kinesthetic,34,5,2,1,5,5
ASP094,Legal Reasoning,English,NLIU Bhopal,NLSIU Bangalore,Intermediate,Visual,30,5,5,5,3,1
ASP095,English,Legal Reasoning,MNLU Mumbai,NLU Delhi,Beginner,Mixed,34,5,3,5,1,3
ASP096,Logical Reasoning,English,NALSAR Hyderabad,GNLU Gandhinagar,Intermediate,Auditory,24,1,5,5,3,1
ASP097,Logical Reasoning,Quantitative Techniques,NLIU Bhopal,NUJS Kolkata,Intermediate,Auditory,25,2,5,3,2,5
ASP098,English,Legal Reasoning,NALSAR Hyderabad,NLSIU Bangalore,Beginner,Kinesthetic,42,5,3,5,5,5
ASP099,Current Affairs,Quantitative Techniques,MNLU Mumbai,GNLU Gandhinagar,Advanced,Visual,29,3,1,3,5,5
ASP100,Current Affairs,Quantitative Techniques,NALSAR Hyderabad,NLIU Bhopal,Intermediate,Auditory,19,3,1,2,5,5
